Velocidade do Vento (m/s);N. de Ocorrencias;Frequencia Relativa (%)
0-1;148;1,68
1-2;464;5,28
2-3;661;7,53
3-4;945;10,76
4-5;1051;11,96
5-6;1211;13,79
6-7;1366;15,55
7-8;1451;16,52
8-9;944;10,75
9-10;401;4,57
10-11;118;1,34
11-12;23;0,26
12-13;1;0,01
13-14;0;0,0
